NATMON_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags,country_of_origin
26565,"Asia: Students from Turkmenistan, both sexes (number)",UKR,Ukraine,2016,2016,9979.0,,,Turkmenistan
26522,"Asia: Students from Azerbaijan, both sexes (number)",UKR,Ukraine,2016,2016,9734.0,,,Azerbaijan
26533,"Asia: Students from India, both sexes (number)",UKR,Ukraine,2016,2016,4773.0,,,India
26458,"Africa: Students from Nigeria, both sexes (number)",UKR,Ukraine,2016,2016,3252.0,,,Nigeria
26454,"Africa: Students from Morocco, both sexes (number)",UKR,Ukraine,2016,2016,2348.0,,,Morocco
26536,"Asia: Students from Iraq, both sexes (number)",UKR,Ukraine,2016,2016,2102.0,,,Iraq
26539,"Asia: Students from Jordan, both sexes (number)",UKR,Ukraine,2016,2016,2090.0,,,Jordan
26567,"Asia: Students from Uzbekistan, both sexes (number)",UKR,Ukraine,2016,2016,2049.0,,,Uzbekistan
26604,"Europe: Students from the Russian Federation, both sexes (number)",UKR,Ukraine,2016,2016,1509.0,,,the Russian Federation
26564,"Asia: Students from Turkey, both sexes (number)",UKR,Ukraine,2016,2016,1465.0,,,Turkey
